,DocumentID,Date,SKU,Price,Discount,Customer,Quantity
0,716,2019-09-23,1039,381.78,67.37254,1,1.0
1,716,2019-09-23,853,593.22,0.00034,1,1.0
2,716,2019-09-23,862,423.73,-0.00119,1,1.0
3,716,2019-09-23,868,201.7,35.58814,1,1.0
4,716,2019-09-23,2313,345.76,61.01966,1,1.0
5,716,2019-09-23,2355,406.78,101.69458,1,1.0
6,716,2019-09-23,2529,542.38,135.5861,1,1.0
7,460,2019-04-13,2361,13983.05,0.0,460,6.0
8,461,2019-04-27,2723,30.0,0.0,479,1.0
9,462,2019-05-30,655,2500.0,0.0,26,1.0
10,463,2019-07-31,2546,11016.95,0.0,580,1.0
11,464,2019-08-07,2832,1700.0,0.0,311,2.0
12,464,2019-08-07,2832,1700.0,0.0,311,2.0
13,464,2019-08-07,2883,0.0,20.0,311,1.0
14,464,2019-08-07,2883,0.0,20.0,311,1.0
15,464,2019-08-07,2889,0.0,20.0,311,1.0
16,465,2019-09-07,2734,100.0,0.0,83,4.0
17,466,2019-09-07,2723,30.0,0.0,479,1.0
18,466,2019-09-07,2641,20.0,0.0,479,1.0
19,467,2019-09-12,1444,3983.05,0.0,587,4.0
20,467,2019-09-12,709,1991.53,0.0,587,2.0
21,468,2019-09-25,2775,1200.0,0.0,479,2.0
22,468,2019-09-25,2775,1200.0,0.0,479,2.0
23,469,2019-11-25,2723,120.0,0.0,479,4.0
24,469,2019-11-25,2737,140.0,0.0,479,1.0
25,469,2019-11-25,2739,60.0,0.0,479,4.0
26,470,2019-12-28,2740,70.0,0.0,479,1.0
27,472,2019-01-03,2275,4279.66,0.0,551,2.0
28,473,2019-01-04,2360,2627.12,0.0,545,2.0
29,474,2019-01-04,1344,3771.19,0.0,545,2.0
30,475,2019-01-07,2117,4203.39,0.0,551,2.0
31,475,2019-01-07,2275,4262.71,0.0,551,2.0
32,475,2019-01-07,2522,4203.39,0.0,551,2.0
33,476,2019-01-08,2226,5254.24,0.0,479,4.0
34,477,2019-01-10,1600,2711.88,0.0,155,2.0
35,478,2019-01-11,1600,1355.94,0.0,155,1.0
36,479,2019-01-11,2360,1334.75,0.0,155,1.0
37,480,2019-01-12,2301,2669.49,0.0,155,2.0
38,481,2019-01-12,2360,1334.75,0.0,155,1.0
39,482,2019-01-14,1600,2689.83,0.0,551,2.0
40,482,2019-01-14,2117,4203.39,0.0,551,2.0
41,483,2019-01-14,1600,2689.83,0.0,155,2.0
42,484,2019-01-14,1291,2627.12,0.0,155,2.0
43,485,2019-01-17,1354,4915.25,0.0,551,4.0
44,485,2019-01-17,1600,2689.83,0.0,551,2.0
45,485,2019-01-17,2117,4203.39,0.0,551,2.0
46,485,2019-01-17,2275,4279.66,0.0,551,2.0
47,486,2019-01-17,1354,11059.32,0.0,155,9.0
48,487,2019-01-17,1749,2457.63,0.0,581,2.0
49,488,2019-01-18,2275,4279.66,0.0,413,2.0
50,489,2019-01-19,1600,4029.66,0.0,155,3.0
51,490,2019-01-21,2226,5254.24,0.0,479,4.0
52,491,2019-01-21,2775,1200.0,0.0,479,2.0
53,491,2019-01-21,2883,0.0,20.0,479,1.0
54,492,2019-01-22,2360,2669.49,0.0,155,2.0
55,493,2019-01-24,1291,2627.12,0.0,155,2.0
56,494,2019-01-26,2733,500.0,0.0,83,2.0
57,494,2019-01-26,2733,100.0,0.0,83,1.0
58,494,2019-01-26,2663,150.0,0.0,83,3.0
59,495,2019-01-28,1600,1355.93,0.0,155,1.0
60,496,2019-01-28,1600,1355.93,0.0,155,1.0
61,497,2019-01-29,1600,2711.86,0.0,155,2.0
62,498,2019-03-22,2865,150.0,0.0,479,1.0
63,498,2019-03-22,2886,0.0,20.0,479,1.0
64,499,2019-03-30,2723,30.0,0.0,479,1.0
65,499,2019-03-30,2641,20.0,0.0,479,1.0
66,510,2019-08-17,2775,2400.0,0.0,479,4.0
67,510,2019-08-17,2883,0.0,20.0,479,1.0
68,1078,2019-12-27,2222,796.610169,143.389831,231,4.0
69,1079,2019-12-27,522,355.932203,64.067797,231,2.0
70,1080,2019-12-27,166,901.694915,162.305085,284,4.0
71,1080,2019-12-27,191,182.754237,32.895763,284,1.0
72,1080,2019-12-27,219,780.101695,140.418305,284,4.0
73,1080,2019-12-27,224,1123.966102,202.313898,284,4.0
74,1080,2019-12-27,482,1251.084746,225.195254,284,4.0
75,1080,2019-12-27,483,805.084746,144.915254,284,2.0
76,1080,2019-12-27,2375,1175.423729,211.576271,284,4.0
77,1080,2019-12-27,1133,966.101695,173.898305,284,4.0
78,1080,2019-12-27,2180,512.033898,92.166102,284,2.0
79,1080,2019-12-27,2031,2850.0,513.0,284,4.0
80,1081,2019-12-27,2516,3053.38983,549.61017,551,3.0
81,1082,2019-12-28,1786,1423.728814,256.271186,328,4.0
82,1083,2019-12-28,523,747.457627,134.542373,511,4.0
83,1084,2019-12-28,525,1288.135593,231.864407,506,8.0
84,1084,2019-12-28,529,1389.830508,250.169492,506,8.0
85,1084,2019-12-28,580,1322.033898,237.966102,506,4.0
86,1084,2019-12-28,557,3305.084746,594.915254,506,20.0
87,1084,2019-12-28,561,3813.559322,686.440678,506,20.0
88,1084,2019-12-28,491,1118.644068,201.355932,506,8.0
89,1084,2019-12-28,499,1423.728814,256.271186,506,8.0
90,1084,2019-12-28,1796,711.864407,128.135593,506,4.0
91,1084,2019-12-28,2438,3474.576271,625.423729,506,20.0
92,1085,2019-12-28,136,2474.576271,445.423729,591,4.0
93,1086,2019-12-28,525,1423.728814,256.271186,165,8.0
94,1086,2019-12-28,523,745.762712,134.237288,165,4.0
95,1087,2019-12-28,534,917.79661,165.20339,99,4.0
96,1088,2019-12-28,574,500.0,90.0,407,2.0
97,1089,2019-12-28,570,1155.932203,208.067797,511,4.0
98,1090,2019-12-28,1823,389.830508,70.169492,313,2.0
99,1091,2019-12-28,534,946.779661,170.420339,68,4.0
100,1091,2019-12-28,528,913.559322,164.440678,68,4.0
101,1091,2019-12-28,497,847.118644,152.481356,68,4.0
102,1092,2019-12-28,1823,714.237288,128.562712,313,4.0
103,1092,2019-12-28,2372,432.20339,77.79661,313,2.0
104,1093,2019-12-28,525,745.762712,134.237288,25,4.0
105,1094,2019-12-28,541,1728.813559,311.186441,558,12.0
106,1095,2019-12-28,574,500.0,90.0,407,2.0
107,1096,2019-12-28,2349,1117.186441,201.093559,272,4.0
108,1097,2019-12-28,534,915.254237,164.745763,231,4.0
109,1098,2019-12-28,983,301.694915,54.305085,284,1.0
110,1098,2019-12-28,224,1014.40678,182.59322,284,4.0
111,1098,2019-12-28,166,901.694915,162.305085,284,4.0
112,1098,2019-12-28,163,837.288136,150.711864,284,4.0
113,1098,2019-12-28,70,1626.271186,292.728814,284,4.0
114,1098,2019-12-28,92,524.110169,94.339831,284,1.0
115,1098,2019-12-28,2267,4186.440678,753.559322,284,4.0
116,1098,2019-12-28,2375,1172.881356,211.118644,284,4.0
117,1098,2019-12-28,1791,3288.135593,591.864407,284,4.0
118,1098,2019-12-28,1133,966.101695,173.898305,284,4.0
119,1099,2019-12-30,2521,1288.135593,231.864407,151,2.0
120,1100,2019-12-30,138,742.372881,133.627119,551,2.0
121,1101,2019-12-30,220,415.254237,74.745763,56,2.0
122,1101,2019-12-30,191,728.813559,131.186441,56,4.0
123,1102,2019-12-30,1133,932.20339,167.79661,322,4.0
124,1103,2019-12-30,1133,932.20339,167.79661,322,4.0
125,1104,2019-12-30,219,207.627119,37.372881,539,1.0
126,1105,2019-12-30,529,756.779661,136.220339,224,4.0
127,1106,2019-12-30,1405,3203.38983,576.61017,313,4.0
128,1107,2019-12-30,2445,747.525424,134.554576,159,1.0
129,1108,2019-12-30,2699,300.0,0.0,119,1.0
130,1109,2019-12-30,2375,15042.372881,2707.627119,551,50.0
131,1110,2019-12-30,525,1423.728814,256.271186,308,8.0
132,1110,2019-12-30,523,728.813559,131.186441,308,4.0
133,1110,2019-12-30,499,1559.322034,280.677966,308,8.0
134,1111,2019-12-30,219,1481.355932,266.644068,604,8.0
